Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
  27-Jul-26  ,BANDHANBNK,169.43,165.93,0.02087385,0.02760727,0.02757767,0.52687061,169.36,166.27,0.01841365,0.02766811,0.02762947,0.52786032,0.02762947,0.52786032
  27-Jul-26  ,BEL,407.15,405.0,0.0052946,0.01781876,,0.33965108,406.85,405.75,0.00270736,,0.01774611,0.33903889,0.01777815,
  27-Jul-26  ,FEDERALBNK,356.5,354.3,0.00619023,0.01620926,0.01617461,0.30901542,356.05,354.6,0.00408078,0.0159003,0.01586314,0.30306484,0.01617461,0.30901542
27-Jul-26,  PIDILITIND  ,1610.8,1570.9,0.02508225,,0.01342371,0.25645955,1613.5,1575.3,0.02396,,0.01345086,0.25697834,0.01345086,0.25697834
27-Jul-26,MANKIND,2551.6,2507.1,0.01759391,0.0173803,0.01738124,0.33206805,2550.2,2512.0,,0.01717958,0.01716983,0.32802923,,0.33206805
27-Jul-26,BAJAJ-AUTO,11183.5,11130.0,,0.01568555,,0.29899422,11210.5,11160.5,0.00447008,0.01554269,,,0.01565007,0.29899422
27-Jul-26,,57087.2,56693.5,0.00692036,0.01097048,0.01095389,0.20927378,57176.4,56844.6,0.00582,,0.01081216,0.20656599,0.01095389,
  27-Jul-26  ,  SBILIFE  ,1866.7,1858.6,0.00434865,0.01373789,,0.26187121,1862.3,1855.9,0.00344253,0.0135881,0.0135564,0.25899471,0.01370697,0.26187121
27-Jul-26,MAZDOCK,,2293.7,0.01540156,,0.02603681,0.49743253,2339.8,2300.3,0.01702591,0.02663672,0.02659722,0.50813908,0.02659722,0.50813908
27-Jul-26,  ICICIGI  ,1681.1,1661.8,0.01154699,0.01633628,0.01631571,0.31171116,1682.8,1666.4,0.00979346,,0.01631973,0.31178802,0.01631973,0.31178802
  27-Jul-26  ,,359.85,352.95,0.01936087,0.02257298,0.02255807,,361.05,352.3,0.02453337,0.02245838,0.02246926,0.42927456,0.02255807,0.43097132
,,78.23,76.97,,0.02751672,0.02747185,0.52484892,78.33,76.94,0.01790477,0.02779488,0.02775428,0.53024479,0.02775428,
27-Jul-26,  BIOCON  ,436.25,433.65,0.00597772,0.0183722,0.01833115,0.35021608,436.95,433.95,0.00688945,0.01837134,0.01833193,0.35023109,0.01833193,0.35023109
,,509.8,,0.018311,,0.01670874,0.31922001,509.3,501.35,0.01573277,0.01680878,,0.32103456,,0.32103456
27-Jul-26,BAJFINANCE,1048.2,1012.8,0.03435563,0.01818424,,0.34963573,1047.3,1015.2,0.03112979,,0.01810339,0.3458648,0.01830077,0.34963573
