INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,JSWSTEEL  ,29/09/2026,00001257.30,00001264.50,00001247.90,00001262.80,000000001208925,       52569742.50,            41850,               62,               48
FUTSTK    ,JUBLFOOD  ,28/07/2026,00000422.00,00000429.40,00000421.95,00000428.50,000000007423750,     3596128312.50,          8437500,             6750,             4169
FUTSTK    ,JUBLFOOD  ,25/08/2026,00000422.00,00000428.90,00000419.80,00000427.75,000000016788750,     3898009625.00,          9148750,             7319,             4713
FUTSTK    ,JUBLFOOD  ,29/09/2026,00000418.90,00000428.40,00000418.90,00000428.20,000000000817500,      120137937.50,           282500,              226,              211
FUTSTK    ,KALYANKJIL,28/07/2026,00000574.20,00000585.00,00000562.85,00000564.60,000000011375100,     8080576200.00,         14146650,            10479,             7414
FUTSTK    ,KALYANKJIL,25/08/2026,00000576.00,00000586.95,00000565.60,00000567.40,000000022640850,     8484655230.00,         14820300,            10978,             8047
FUTSTK    ,KALYANKJIL,29/09/2026,00000576.00,00000587.00,00000565.10,00000566.40,000000000635850,      106471732.50,           186300,              138,              131
FUTSTK    ,KAYNES    ,28/07/2026,00003219.90,00003224.90,00003170.50,00003187.80,000000000947700,     5356490805.00,          1677750,            11185,             7662
FUTSTK    ,KAYNES    ,25/08/2026,00003152.00,00003169.70,00003110.50,00003150.00,000000003497100,     5292827865.00,          1686900,            11246,             7664
FUTSTK    ,KAYNES    ,29/09/2026,00003099.00,00003152.10,00003083.00,00003137.10,000000000124500,      198421740.00,            63600,              424,              389
FUTSTK    ,KEI       ,28/07/2026,00004917.00,00004992.00,00004866.00,00004893.00,000000000302225,     3625300000.00,           736750,             4210,             3228
FUTSTK    ,KEI       ,25/08/2026,00004891.50,00004913.50,00004816.50,00004862.00,000000002037700,     3781088937.50,           775775,             4433,             3361
FUTSTK    ,KEI       ,29/09/2026,00004854.00,00004883.00,00004803.00,00004838.00,000000000011725,       11044950.00,             2275,               13,               12
FUTSTK    ,KFINTECH  ,28/07/2026,00000877.15,00000954.40,00000867.10,00000948.90,000000002025725,     4527232398.75,          4886350,             8498,             7816
FUTSTK    ,KFINTECH  ,25/08/2026,00000859.40,00000949.00,00000855.05,00000937.00,000000003695525,     6428958045.00,          6962675,            12109,            10701
FUTSTK    ,KFINTECH  ,29/09/2026,00000860.00,00000946.10,00000860.00,00000933.70,000000000115575,      141478951.25,           155250,              270,              251
FUTSTK    ,KOTAKBANK ,28/07/2026,00000388.90,00000388.90,00000384.40,00000385.65,000000059718000,    16105513600.00,         41784000,            20892,            13861
FUTSTK    ,KOTAKBANK ,25/08/2026,00000389.50,00000390.60,00000385.65,00000387.70,000000167272000,    18026882700.00,         46520000,            23260,            15531
FUTSTK    ,KOTAKBANK ,29/09/2026,00000391.55,00000393.15,00000389.00,00000390.30,000000033018000,      152210900.00,           390000,              195,              184
FUTSTK    ,KPITTECH  ,28/07/2026,00000586.05,00000594.25,00000581.40,00000586.25,000000002939575,     3706864757.50,          6311600,             8144,             6780
FUTSTK    ,KPITTECH  ,25/08/2026,00000577.15,00000589.10,00000573.45,00000584.95,000000010838375,     4426917063.75,          7592675,             9797,             8058
FUTSTK    ,KPITTECH  ,29/09/2026,00000572.00,00000585.00,00000568.90,00000581.50,000000001430650,      232520111.25,           402225,              519,              397
FUTSTK    ,360ONE    ,28/07/2026,00001114.90,00001135.00,00001097.50,00001131.60,000000001449500,     1285358750.00,          1142000,             2284,             1931
FUTSTK    ,360ONE    ,25/08/2026,00001123.40,00001140.00,00001107.10,00001136.60,000000003917500,     1749356850.00,          1546000,             3092,             2582
FUTSTK    ,360ONE    ,29/09/2026,00001129.70,00001143.30,00001129.70,00001143.00,000000000016500,        8541150.00,             7500,               15,               14
FUTSTK    ,ABB       ,28/07/2026,00007402.00,00007403.00,00007232.50,00007331.50,000000000779500,     5333452937.50,           730500,             5844,             5127
FUTSTK    ,ABB       ,25/08/2026,00007380.50,00007380.50,00007225.00,00007335.50,000000001913625,     6926775437.50,           949500,             7596,             6382
FUTSTK    ,ABB       ,29/09/2026,00007320.00,00007323.00,00007220.00,00007312.50,000000000029875,       48251250.00,             6625,               53,               42
FUTSTK    ,ABCAPITAL ,28/07/2026,00000395.10,00000400.50,00000394.05,00000399.95,000000011113500,     3882745970.00,          9768100,             3151,             2845
FUTSTK    ,ABCAPITAL ,25/08/2026,00000397.05,00000402.95,00000397.00,00000402.25,000000030814000,     4307947705.00,         10775600,             3476,             3129
FUTSTK    ,ABCAPITAL ,29/09/2026,00000398.00,00000404.65,00000398.00,00000404.40,000000000375100,       54848610.00,           136400,               44,               41
FUTSTK    ,ADANIENSOL,28/07/2026,00001712.70,00001716.80,00001676.70,00001701.20,000000008650800,     9900079267.50,          5855625,             8675,             6119
FUTSTK    ,ADANIENSOL,25/08/2026,00001725.10,00001725.10,00001684.00,00001710.90,000000017176725,    11820382042.50,          6955875,            10305,             6845
FUTSTK    ,ADANIENSOL,29/09/2026,00001720.70,00001733.40,00001696.10,00001697.80,000000000068175,       46303515.00,            27000,               40,               36
FUTSTK    ,ADANIENT  ,28/07/2026,00003056.00,00003056.00,00003007.10,00003045.00,000000006833844,    16573462818.00,          5474553,            17717,             8646
FUTSTK    ,ADANIENT  ,25/08/2026,00003055.50,00003071.80,00003024.00,00003058.90,000000014324931,    17138266181.40,          5631216,            18224,             8934
FUTSTK    ,ADANIENT  ,29/09/2026,00003088.30,00003088.30,00003046.10,00003076.90,000000000477096,      107954433.90,            35226,              114,              104
FUTSTK    ,ADANIGREEN,28/07/2026,00001417.00,00001419.40,00001386.80,00001401.00,000000008862600,    10212952020.00,          7301400,            12169,             6839
FUTSTK    ,ADANIGREEN,25/08/2026,00001420.00,00001427.00,00001397.70,00001408.30,000000022130400,    11925837360.00,          8477400,            14129,             8308
FUTSTK    ,ADANIGREEN,29/09/2026,00001428.40,00001432.50,00001406.30,00001417.40,000000000235800,      107120160.00,            75600,              126,              113
FUTSTK    ,ADANIPORTS,28/07/2026,00001780.00,00001784.00,00001755.00,00001772.80,000000004987500,     7962022010.00,          4507275,             9489,             6381
FUTSTK    ,ADANIPORTS,25/08/2026,00001791.00,00001795.00,00001764.60,00001782.40,000000017236325,     9122150182.50,          5137125,            10815,             8108
FUTSTK    ,ADANIPORTS,29/09/2026,00001796.00,00001798.60,00001775.20,00001791.90,000000002158400,     1144768620.00,           639825,             1347,              428
FUTSTK    ,ADANIPOWER,28/07/2026,00000214.30,00000216.00,00000212.95,00000214.18,000000061762900,    10207628216.50,         47697800,            13436,             8582
FUTSTK    ,ADANIPOWER,25/08/2026,00000216.00,00000217.20,00000214.13,00000215.31,000000127182300,    10755705297.00,         49991100,            14082,             8871
FUTSTK    ,ADANIPOWER,29/09/2026,00000218.00,00000218.31,00000215.47,00000216.61,000000007593450,       83082496.00,           383400,              108,              103
